Ranking države,Narod,Število članov,Povprečna starost,Skupna vrednost,Točke
1,Argentina,24,27.8,€735.00m,1889
2,France,23,26.0,€1.06bn,1852
3,Spain,23,26.7,€750.00m,1836
4,England,22,25.5,€1.34bn,1817
5,Brazil,23,26.5,€767.50m,1772
6,Belgium,23,24.6,€483.25m,1768
7,Netherlands,23,25.4,€778.00m,1760
8,Portugal,26,26.5,€972.00m,1752
9,Colombia,29,28.1,€328.20m,1739
10,Italy,23,24.8,€647.50m,1726
11,Uruguay,27,25.4,€412.90m,1701
12,Croatia,25,27.9,€269.50m,1700
13,Germany,22,27.8,€591.50m,1692
14,Morocco,26,25.9,€324.55m,1676
15,Switzerland,23,27.6,€238.50m,1641
16,Japan,27,27.0,€282.58m,1640
17,Mexico,27,27.1,€167.30m,1636
18,USA,23,25.5,€262.80m,1632
19,Iran,27,28.0,€47.45m,1623
20,Denmark,24,26.9,€335.50m,1622
21,Senegal,26,27.3,€276.30m,1621
22,Austria,25,27.3,€219.70m,1580
23,South Korea,26,27.2,€128.53m,1573
24,Ukraine,25,26.8,€263.00m,1548
25,Australia,26,27.4,€39.55m,1544
26,Türkiye,24,25.8,€328.50m,1539
27,Ecuador,26,24.9,€268.65m,1535
28,Sweden,23,26.9,€285.00m,1528
29,Wales,25,27.2,€159.45m,1527
30,Poland,25,26.5,€201.90m,1525
31,Egypt,24,28.3,€136.15m,1516
32,Hungary,23,27.8,€133.90m,1511
33,Ivory Coast,25,26.3,€245.35m,1509
34,Russia,22,25.3,€128.30m,1509
35,Serbia,22,25.1,€178.40m,1505
36,Tunisia,28,27.3,€59.85m,1505
37,Panama,23,27.9,€23.98m,1503
38,Canada,26,25.3,€160.85m,1502
39,Nigeria,22,26.6,€281.55m,1498
40,Venezuela,27,27.8,€76.45m,1489
41,Algeria,24,26.7,€139.28m,1486
42,Slovakia,26,26.6,€146.05m,1486
43,Peru,27,28.8,€33.10m,1483
44,Qatar,28,27.8,€20.35m,1482
45,Romania,25,28.1,€100.53m,1481
46,Czechia,24,26.7,€159.80m,1473
47,Norway,23,26.1,€393.30m,1472
48,Greece,25,26.6,€193.80m,1469
49,Chile,23,27.2,€60.75m,1468
50,Costa Rica,25,25.5,€29.08m,1466
51,Slovenia,23,27.8,€126.75m,1463
52,Scotland,25,30.2,€163.25m,1462
53,Cameroon,24,26.5,€178.60m,1459
54,Mali,24,25.0,€138.53m,1455
55,Iraq,24,26.9,€9.28m,1436
56,Saudi Arabia,28,26.5,€30.23m,1433
57,Paraguay,28,27.6,€137.68m,1424
58,DR Congo,25,27.7,€91.40m,1417
59,South Africa,23,27.4,€34.75m,1415
60,Uzbekistan,26,27.2,€38.85m,1413
61,Jamaica,23,26.8,€54.13m,1403
62,Ireland,22,25.4,€191.10m,1395
63,Burkina Faso,26,25.5,€113.40m,1388
64,Finland,25,27.8,€35.48m,1384
65,Cape Verde,26,26.7,€24.93m,1379
66,Georgia,23,27.4,€180.05m,1378
67,Albania,26,27.1,€97.70m,1378
68,Jordan,29,26.6,€17.00m,1378
69,UAE,26,26.2,€38.51m,1377
70,Ghana,24,26.5,€228.68m,1360
71,Iceland,23,26.5,€52.65m,1356
72,North Macedonia,24,27.6,€41.20m,1351
73,N. Ireland,23,25.0,€53.70m,1340
74,Montenegro,25,28.5,€29.35m,1333
75,Bosnia,23,26.6,€80.45m,1332
76,Bahrain,25,29.5,€9.48m,1315
77,Honduras,26,28.1,€16.58m,1311
78,Oman,26,28.5,€8.13m,1309
79,Israel,24,25.6,€69.85m,1308
80,El Salvador,24,27.6,€4.65m,1307
81,Bulgaria,26,27.5,€34.20m,1303
82,Guinea,23,25.6,€83.43m,1298
83,Bolivia,23,24.4,€12.23m,1294
84,Gabon,24,26.8,€38.00m,1293
